"[['p value', '0.863'], 5]","[['p value', '0.0912'], 1]","[['p value', '0.88'], 5]","[['p value', '0.0432'], 1]","[['p value', '0.766'], 5]","[['p value', '0.246'], 1]"
"[['p value', '0.71'], 4]","[['p value', '2.23e-06'], 5]","[['p value', '0.714'], 4]","[['p value', '0.00175'], 3]","[['p value', '0.325'], 4]","[['p value', '0.0517'], 5]"
"[['p value', '6.21e-05'], 11]","[['p value', '2.2e-13'], 9]","[['p value', '0.0778'], 11]","[['p value', '1.54e-06'], 8]","[['p value', '0.27'], 11]","[['p value', '0.271'], 9]"
"[['p value', '0.101'], 5]","[['p value', '2.75e-13'], 8]","[['p value', '0.355'], 5]","[['p value', '5.94e-13'], 8]","[['p value', '0.192'], 5]","[['p value', '2.75e-13'], 8]"
"[['p value', '0.904'], 13]","[['p value', '2.2e-07'], 5]","[['p value', '0.688'], 11]","[['p value', '7.23e-05'], 5]","[['p value', '0.206'], 13]","[['p value', '0.5'], 5]"
"[['p value', '0.286'], 11]","[['p value', '3.68e-15'], 9]","[['p value', '0.0248'], 11]","[['p value', '5.82e-06'], 9]","[['p value', '0.838'], 11]","[['p value', '0.996'], 9]"
"[['p value', '0.12'], 7]","[['p value', '9.62e-14'], 9]","[['p value', '0.538'], 7]","[['p value', '1.66e-05'], 8]","[['p value', '0.743'], 7]","[['p value', '0.7'], 9]"
"[['p value', '0.782'], 2]","[['p value', '7.69e-13'], 7]","[['p value', '0.664'], 2]","[['p value', '0.000232'], 6]","[['p value', '0.571'], 7]","[['p value', '0.365'], 7]"
"[['p value', '0.178'], 5]","[['p value', '0.0368'], 4]","[['p value', '0.0303'], 5]","[['p value', '0.0692'], 4]","[['p value', '0.0765'], 5]","[['p value', '0.119'], 4]"
"[['p value', '0.229'], 6]","[['p value', '2.22e-06'], 4]","[['p value', '0.686'], 5]","[['p value', '0.000808'], 4]","[['p value', '0.00393'], 6]","[['p value', '0.162'], 3]"
"[['p value', '0.881'], 4]","[['p value', '1.79e-16'], 10]","[['p value', '0.852'], 4]","[['p value', '2.37e-08'], 10]","[['p value', '0.323'], 4]","[['p value', '0.000939'], 10]"
"[['p value', '0.223'], 2]","[['p value', '7.71e-09'], 6]","[['p value', '0.181'], 2]","[['p value', '0.0101'], 6]","[['p value', '0.00907'], 2]","[['p value', '0.206'], 6]"
"[['p value', '0.044'], 11]","[['p value', '4.49e-14'], 5]","[['p value', '0.048'], 11]","[['p value', '2.96e-11'], 5]","[['p value', '0.00237'], 11]","[['p value', '0.00325'], 5]"
"[['p value', '0.0199'], 16]","[['p value', '1e-13'], 7]","[['p value', '0.00906'], 16]","[['p value', '1.98e-07'], 7]","[['p value', '0.237'], 16]","[['p value', '0.17'], 7]"
"[['p value', '0.089'], 10]","[['p value', '4.04e-13'], 10]","[['p value', '0.0336'], 9]","[['p value', '9.13e-10'], 9]","[['p value', '0.683'], 10]","[['p value', '0.918'], 9]"
"[['p value', '0.924'], 3]","[['p value', '2.4e-08'], 10]","[['p value', '0.834'], 3]","[['p value', '1.72e-05'], 9]","[['p value', '0.537'], 3]","[['p value', '0.113'], 10]"
"[['p value', '0.026'], 9]","[['p value', '2.11e-12'], 8]","[['p value', '0.383'], 9]","[['p value', '1.52e-06'], 7]","[['p value', '0.429'], 9]","[['p value', '0.892'], 7]"
"[['p value', '0.00285'], 15]","[['p value', '0.000208'], 2]","[['p value', '0.0272'], 15]","[['p value', '0.0473'], 2]","[['p value', '0.693'], 14]","[['p value', '0.915'], 2]"
"[['p value', '0.0786'], 13]","[['p value', '1.5e-11'], 7]","[['p value', '0.113'], 10]","[['p value', '1.72e-05'], 6]","[['p value', '0.222'], 13]","[['p value', '0.000348'], 7]"
"[['p value', '0.212'], 2]","[['p value', '0.0702'], 3]","[['p value', '0.131'], 2]","[['p value', '0.0467'], 3]","[['p value', '0.166'], 2]","[['p value', '0.8'], 3]"
"[['p value', '0.457'], 4]","[['p value', '0.0195'], 1]","[['p value', '0.706'], 4]","[['p value', '0.0541'], 1]","[['p value', '0.0672'], 4]","[['p value', '0.567'], 1]"
