"[0.03648703784390262, 0.19236559546863874, 0.18967548617523494, 7, 1]","[0.0019635531140802893, 0.2392791060959878, 0.008206120233885368, 5, 2]"
"[0.5690514007259204, 0.5918134567549573, 0.9615384615384615, 2, 0]","[0.038930439058132274, 0.04736483167178296, 0.8219271067593517, 6, 0]"
"[0.4628569756974985, 0.4628569756974985, 1.0, 1, 0]","[0.0001396045030658786, 0.26539097475501683, 0.0005260333483259855, 6, 3]"
"[0.5193705878957957, 0.5193705878957957, 1.0, 1, 0]","[0.0009388613314280689, 0.002641612209523969, 0.3554122471281491, 19, 1]"
"[0.6026814920169716, 0.6267887516976506, 0.9615384615384615, 2, 0]","[0.012966597242309141, 0.3371315283000377, 0.038461538461538464, 2, 1]"
"[0.08438561738212072, 0.3122783196479758, 0.2702256675303194, 11, 1]","[0.33329932416365066, 0.3466312971301967, 0.9615384615384615, 2, 0]"
"[0.3102188354111587, 0.37742864648213414, 0.8219271067593517, 6, 0]","[2.1804483904621787e-05, 0.09964125836798443, 0.00021882987290360988, 5, 3]"
"[0.25949605885193705, 0.25949605885193705, 1.0, 1, 0]","[0.22025447935097778, 0.2290646585250169, 0.9615384615384615, 2, 0]"
"[0.5901141263101412, 0.6382674390170486, 0.9245562130177515, 3, 0]","[0.0001400369781009627, 0.2551852438111184, 0.0005487659709846487, 12, 4]"
"[0.5329239592194003, 0.7012915738529937, 0.7599178132020633, 8, 0]","[0.2669020634075633, 0.2669020634075633, 1.0, 1, 0]"
"[0.4032748085519577, 0.419405800894036, 0.9615384615384615, 2, 0]","[0.33853944955689314, 0.3661642686407356, 0.9245562130177515, 3, 0]"
"[0.41946521832614025, 0.41946521832614025, 1.0, 1, 0]","[0.0077130134861241074, 0.05639459281336079, 0.13676867056475617, 5, 1]"
"[0.5294090426024783, 0.5955131732979942, 0.8889963586709148, 4, 0]","[0.0402991215020007, 0.3777585917435543, 0.10667956304050978, 4, 1]"
"[0.45952864102274693, 0.5590868548362529, 0.8219271067593517, 6, 0]","[1.7399079544252227e-06, 0.16538000489533544, 1.0520666966519705e-05, 6, 4]"
"[0.11945003546819358, 0.8733727905298114, 0.13676867056475617, 5, 1]","[0.4659592072588725, 0.4659592072588725, 1.0, 1, 0]"
"[0.5133360259849375, 0.5552242457053085, 0.9245562130177515, 3, 0]","[0.616305201641346, 0.616305201641346, 1.0, 1, 0]"
"[0.7723127183879516, 0.8353334362084084, 0.9245562130177515, 3, 0]","[0.6135983380863751, 0.6381422716098302, 0.9615384615384615, 2, 0]"
"[0.3224554676188812, 0.3224554676188812, 1.0, 1, 0]","[0.023554632920410334, 0.1722224309349989, 0.13676867056475617, 5, 1]"
"[0.4697016185168736, 0.6685318619485563, 0.7025867355788306, 10, 0]","[8.127185252546583e-16, 0.0020254736109229787, 4.0124863679873583e-13, 20, 12]"
"[1.7330573409188246e-05, 0.5710600035439307, 3.0348077788037616e-05, 7, 4]","[0.00025946852929209946, 0.4932549050698313, 0.0005260333483259855, 6, 3]"
"[0.06710239026111924, 0.49062691027144345, 0.13676867056475617, 5, 1]","[0.018713823737333875, 0.48655941717068074, 0.038461538461538464, 2, 1]"
"[0.7275686523662611, 0.7566713984609116, 0.9615384615384615, 2, 0]","[0.006101748414324159, 0.010988904179014214, 0.5552645027132752, 16, 0]"
"[0.24265272110593727, 0.24265272110593727, 1.0, 1, 0]","[0.24051860780402046, 0.24051860780402046, 1.0, 1, 0]"
"[0.3914621883839049, 0.40712067591926115, 0.9615384615384615, 2, 0]","[0.3312133357963186, 0.3312133357963186, 1.0, 1, 0]"
"[0.4822002916069209, 0.6863213709972152, 0.7025867355788306, 10, 0]","[1.4089649868685966e-18, 0.7132635147150374, 1.9753779042399296e-18, 20, 15]"
"[0.4233940443622549, 0.5571576781154803, 0.7599178132020633, 8, 0]","[3.805997181738578e-11, 0.03973976096234977, 9.577302655002013e-10, 9, 7]"
"[0.4892614479621631, 0.4892614479621631, 1.0, 1, 0]","[0.001034397184385479, 0.002867524809964106, 0.36072824227750167, 20, 1]"
"[0.4739633534983376, 0.512638763143802, 0.9245562130177515, 3, 0]","[0.40228272444560065, 0.40228272444560065, 1.0, 1, 0]"
"[0.569766021989145, 0.6409092865587978, 0.8889963586709148, 4, 0]","[9.060794671454538e-18, 0.010277127649183315, 8.816466021198604e-16, 15, 12]"
"[0.6214689797553862, 0.6214689797553862, 1.0, 1, 0]","[0.6214689797553862, 0.6214689797553862, 1.0, 1, 0]"
"[0.34790217672425894, 0.6265521657232733, 0.5552645027132752, 16, 0]","[0.3356706671933307, 0.3356706671933307, 1.0, 1, 0]"
"[0.18814758795213252, 0.5818049048749733, 0.3233860463802113, 15, 1]","[0.07317714792446932, 0.44515594705829875, 0.16438542135187031, 6, 1]"
"[0.4692136251390255, 0.48798217014458656, 0.9615384615384615, 2, 0]","[0.4692136251390255, 0.48798217014458656, 0.9615384615384615, 2, 0]"
"[0.01999034437391684, 0.7829145666519506, 0.025533238523589342, 8, 2]","[4.4472343406647756e-17, 0.05044236919840328, 8.816466021198604e-16, 15, 12]"
"[0.3021581336524687, 0.43006524084678854, 0.7025867355788306, 10, 0]","[2.8941194398327647e-27, 0.004669995394130155, 6.197264013301732e-25, 20, 18]"
